,Item,Discounted Price,url link
57,Sofy Cooling Fresh Day Pads - Heavy Ultra Slim (25cm),$5.25,https://www.fairprice.com.sg/product/13155043
58,Ikan Brand Instant Curry Paste - Fish,$2.10,https://www.fairprice.com.sg/product/ikan-instant-fish-curry-sauce-200g-12452813
59,Cap Royal Bordeaux Red Wine - Superieur,$21.00,https://www.fairprice.com.sg/product/cap-royal-bordeaux-superieur-750ml-12536697
60,TENA Pants Plus Unisex Adult Diapers - M,$19.55,https://www.fairprice.com.sg/product/tena-plus-adult-diapers-pants-m-80-110cm-14s-11191797
61,S&W Fruit & Chia Cups - Peaches in Strawberry Dragon Fruit,$3.90,https://www.fairprice.com.sg/product/13108900
62,S&W Fruit & Chia Cups - Pears in Blackberry,$3.90,https://www.fairprice.com.sg/product/13108901
63,Ikan Brand Instant Sauce - Instant Tom Yam,$2.10,https://www.fairprice.com.sg/product/ikan-instant-tom-yam-sauce-200g-12452864
64,S&W Fruit & Chia Cups - Mixed Fruit in Tropical,$3.90,https://www.fairprice.com.sg/product/13108819
65,Sofy Cooling Fresh Day Pads - Heavy Ultra Slim (23cm),$5.25,https://www.fairprice.com.sg/product/13155042
66,Laurier Worry-Free Sleep Night Pads - 30cm,$7.55,https://www.fairprice.com.sg/product/laurier-safety-comfort-night-twin-pack-2-x-16s-12698194
67,Sterling Red Wine - Pinot Noir ,$26.50,https://www.fairprice.com.sg/product/sterling-pinot-noir-750ml-13100239
68,FairPrice Snacks - Classic Mix,$4.70,https://www.fairprice.com.sg/product/fairprice-classic-mix-150g-13056828
69,Drypers Wee Wee Dry Diapers - XXL (15+ kg),$16.90,https://www.fairprice.com.sg/product/drypers-wee-wee-dry-xxl-40s-13085231
70,Sterling White Wine - Chardonnay ,$26.50,https://www.fairprice.com.sg/product/sterling-chardonnay-750ml-13100261
71,TENA Pants Plus Unisex Adult Diapers - L,$23.95,https://www.fairprice.com.sg/product/tena-plus-adult-diapers-pants-l-100-135cm-14s-11191826
